Actual PER,Predicited PER,Difference
0.13,0.1451669236613324,-0.015166923661332404
0.15,0.211941118132489,-0.06194111813248901
0.13,0.29573803536863086,-0.16573803536863085
0.17,0.18176922753314612,-0.011769227533146104
0.56,0.24747650290484827,0.3125234970951518
0.33,0.34019924218083997,-0.010199242180839951
0.2,0.17056310718329054,0.02943689281670947
0.47,0.43196045643996595,0.03803954356003403
0.22,0.24789755672574643,-0.027897556725746425
0.34,0.3044746903726204,0.0355253096273796
0.33,0.30410429348009205,0.02589570651990797
0.59,0.26303572086308363,0.32696427913691634
0.24,0.23280506606755957,0.007194933932440417
0.14,0.22050223765983046,-0.08050223765983044
0.36,0.3663964789235947,-0.0063964789235947395
0.14,0.2916455838720913,-0.15164558387209126
0.3,0.35069565796526325,-0.05069565796526326
0.11,0.1947442530000848,-0.0847442530000848
0.42,0.4385499665809963,-0.018549966580996335
0.11,0.11908675429143631,-0.009086754291436308
0.2,0.2104077730156656,-0.010407773015665589
0.55,0.4380856458517043,0.11191435414829576
0.22,0.3119094389409265,-0.09190943894092649
0.13,0.14749581349544785,-0.01749581349544785
0.28,0.20107506224315874,0.07892493775684128
0.16,0.15553599378488278,0.004464006215117222
0.35,0.3136136260012203,0.0363863739987797
0.33,0.39823696140088294,-0.06823696140088292
0.11,0.25023164934632475,-0.14023164934632476
0.14,0.2315664621034986,-0.09156646210349859
0.06,0.40014455985134484,-0.34014455985134484
0.17,0.22936980262317014,-0.059369802623170126
0.28,0.2903568112301509,-0.010356811230150864
0.16,0.27249471749940846,-0.11249471749940845
0.18,0.14605751149488694,0.033942488505113055
0.96,0.4698218871082802,0.49017811289171975
0.2,0.24552384275662587,-0.045523842756625854
0.16,0.267093956709504,-0.10709395670950397
0.28,0.20176097039592822,0.07823902960407181
0.21,0.29149364771610653,-0.08149364771610654
0.17,0.2637738842370637,-0.0937738842370637
0.16,0.2674208833591909,-0.1074208833591909
0.2,0.3202126369769833,-0.12021263697698331
0.83,0.4644058661557654,0.36559413384423456
0.23,0.245815630690343,-0.015815630690343002
0.3,0.3215974870148221,-0.021597487014822114
0.26,0.32484434372907256,-0.06484434372907255
0.68,0.45803021666947874,0.2219697833305213
0.66,0.3750927419856013,0.28490725801439876
0.4,0.24467101388851814,0.15532898611148188
0.54,0.45870851281903385,0.08129148718096618
19.0,0.3300937975519459,18.669906202448054
0.17,0.25397544263346683,-0.08397544263346682
0.51,0.44254885046088555,0.06745114953911446
0.26,0.1375125485177794,0.12248745148222062
0.1,0.3993538878368607,-0.2993538878368607
0.08,0.2473445758993368,-0.16734457589933682
0.24,0.4331296811700588,-0.1931296811700588
0.18,0.14951374115871724,0.030486258841282754
