Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Brandon Clarke,56,9.81,5.4,1.28,0.59,0.69,0.98,6.08,4.02,2.35,1.77,0.1,0.0,0.26
Jordan Clarkson,61,26.33,5.06,5.57,0.63,0.25,3.8,21.39,9.49,5.06,4.18,9.49,3.16,0.35
Nic Claxton,76,14.91,10.89,2.25,1.07,2.96,1.54,9.11,6.39,3.79,2.13,0.0,0.0,0.34
Amir Coffey,50,2.01,0.65,0.65,0.06,0.06,0.24,1.72,0.65,0.77,0.59,0.47,0.12,0.04
John Collins,71,14.18,7.04,1.3,0.65,1.08,1.19,10.82,5.52,2.71,2.16,3.68,1.08,0.24
Zach Collins,63,12.79,7.06,3.2,0.66,0.88,2.21,9.59,4.96,2.54,1.87,2.54,0.99,0.28
Chance Comanche,1,-32.26,-13.83,-0.0,-0.0,-4.61,-0.0,-23.04,-13.83,-18.44,-4.61,-0.0,-0.0,-27.65
Mike Conley,67,6.98,1.58,3.93,0.64,0.12,0.88,5.33,2.29,1.47,1.23,3.05,1.17,0.13
Mike Conley,43,9.58,2.24,6.89,0.89,0.18,1.52,7.79,3.22,1.97,1.61,4.47,1.61,0.31
Mike Conley,24,15.24,3.37,5.44,1.31,0.22,1.31,10.67,4.9,3.27,2.83,6.31,2.61,0.75
Pat Connaughton,61,7.18,4.35,1.23,0.57,0.19,0.47,6.52,2.55,0.66,0.38,5.01,1.7,0.14
Xavier Cooks,10,4.34,4.34,0.68,0.68,0.46,0.91,3.2,1.94,1.14,0.46,0.11,0.0,0.76
Robert Covington,48,6.65,3.88,1.33,0.89,0.78,0.78,5.32,2.33,0.89,0.67,3.1,1.22,0.2
Torrey Craig,79,5.43,3.96,1.1,0.44,0.59,0.66,4.62,2.13,0.44,0.29,2.35,0.95,0.1
Jae Crowder,18,8.49,4.68,1.85,0.86,0.37,0.49,6.4,3.08,0.86,0.74,3.82,1.6,0.69
Jarrett Culver,10,5.38,4.65,0.73,0.73,0.24,0.86,5.26,2.08,1.59,1.1,1.47,0.12,0.72
Cade Cunningham,12,18.36,5.72,5.53,0.74,0.55,3.04,17.25,7.19,3.32,2.77,4.7,1.29,1.44
Seth Curry,61,6.74,1.17,1.17,0.44,0.07,0.59,5.42,2.49,0.66,0.59,2.78,1.1,0.1
Stephen Curry,56,50.32,10.44,10.78,1.54,0.68,5.48,34.57,17.11,8.56,7.87,19.51,8.39,0.89
Dyson Daniels,59,2.71,2.28,1.64,0.5,0.14,0.71,2.49,1.07,0.5,0.28,1.07,0.36,0.09
Anthony Davis,56,41.73,20.14,4.19,1.77,3.22,3.54,27.71,15.63,12.73,9.99,2.09,0.48,0.93
Johnny Davis,28,6.92,2.75,1.19,0.48,0.36,0.72,7.28,2.86,1.19,0.6,2.98,0.72,0.21
