Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Reggie Bullock,65,10.9,3.4,1.5,0.8,0.2,0.7,8.6,3.8,0.8,0.8,6.1,2.5,0.17
Trey Burke,62,6.6,0.9,1.3,0.6,0.1,0.5,5.7,2.4,0.9,0.8,2.6,0.9,0.09
Alec Burks,49,12.7,4.6,2.2,0.6,0.3,1.0,10.2,4.3,2.4,2.1,5.0,2.1,0.27
Jimmy Butler,52,21.5,6.9,7.1,2.1,0.3,2.1,14.2,7.0,8.0,6.9,2.0,0.5,0.53
Bruno Caboclo,6,2.8,2.3,0.2,0.0,0.3,0.7,2.8,1.3,0.3,0.2,0.8,0.0,0.55
Devontae Cacok,20,2.0,1.6,0.1,0.3,0.2,0.3,1.5,0.9,0.6,0.3,0.0,0.0,0.15
Kentavious Caldwell-Pope,67,9.7,2.7,1.9,0.9,0.4,1.0,7.6,3.3,1.7,1.4,4.4,1.8,0.15
Facundo Campazzo,65,6.1,2.1,3.6,1.2,0.2,1.1,4.8,1.8,1.4,1.2,3.3,1.2,0.14
Vlatko ÄŒanÄar,41,2.1,1.2,0.3,0.3,0.0,0.3,1.8,0.8,0.3,0.2,0.8,0.2,0.06
Devin Cannady,8,4.3,0.6,0.1,0.6,0.1,0.3,3.5,1.4,0.9,0.8,2.0,0.8,0.4
Clint Capela,63,15.2,14.3,0.8,0.7,2.0,1.2,11.0,6.6,3.6,2.1,0.0,0.0,0.41
Vernon Carey Jr.,19,2.4,1.4,0.1,0.1,0.3,0.3,1.9,0.9,0.6,0.5,0.4,0.1,0.15
Jevon Carter,60,4.1,1.5,1.2,0.5,0.2,0.3,3.7,1.6,0.1,0.1,2.5,0.9,0.08
Wendell Carter Jr.,54,11.2,8.2,1.9,0.6,0.8,1.4,8.5,4.3,3.3,2.4,0.9,0.3,0.3
Wendell Carter Jr.,32,10.9,7.8,2.2,0.6,0.8,1.5,7.9,4.0,3.5,2.6,0.7,0.3,0.5
Wendell Carter Jr.,22,11.7,8.8,1.6,0.8,0.8,1.3,9.3,4.6,3.1,2.2,1.3,0.3,0.76
Michael Carter-Williams,31,8.8,4.5,4.2,0.8,0.5,2.2,8.7,3.4,2.6,1.6,2.0,0.5,0.33
Alex Caruso,58,6.4,2.9,2.8,1.1,0.3,1.3,5.3,2.3,1.3,0.8,2.4,0.9,0.15
Willie Cauley-Stein,53,5.3,4.5,0.7,0.4,0.8,0.5,3.4,2.2,1.5,0.9,0.2,0.0,0.18
Chris Chiozza,22,4.0,1.1,3.0,0.3,0.3,0.7,4.0,1.4,0.8,0.6,1.9,0.6,0.24
Marquese Chriss,2,6.5,6.5,1.0,0.0,1.0,1.0,7.0,2.5,2.0,1.0,2.5,0.5,4.25
Gary Clark,39,3.1,2.9,0.8,0.3,0.2,0.4,3.4,1.0,0.3,0.2,2.8,0.8,0.11
Gary Clark,35,3.4,3.2,0.9,0.3,0.2,0.5,3.7,1.1,0.3,0.2,3.1,0.9,0.14
Gary Clark,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Gary Clark,2,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75
Brandon Clarke,59,10.3,5.6,1.6,1.0,0.9,0.6,8.4,4.3,1.9,1.3,1.3,0.3,0.24
Jordan Clarkson,68,18.4,4.0,2.5,0.9,0.1,1.7,15.8,6.7,2.1,1.9,8.8,3.1,0.22
Nic Claxton,32,6.6,5.2,0.9,0.7,1.3,0.6,4.5,2.8,2.0,1.0,0.2,0.0,0.36
Amir Coffey,44,3.2,1.0,0.5,0.2,0.0,0.3,2.3,1.0,0.9,0.6,1.3,0.5,0.07
John Collins,63,17.6,7.4,1.2,0.5,1.0,1.3,12.2,6.8,3.2,2.7,3.3,1.3,0.33
Mike Conley,51,16.2,3.5,6.0,1.4,0.2,1.9,12.5,5.6,2.8,2.4,6.6,2.7,0.35
Pat Connaughton,69,6.8,4.8,1.2,0.7,0.3,0.5,5.6,2.4,0.6,0.4,3.9,1.5,0.14
Quinn Cook,23,3.3,0.7,0.8,0.2,0.0,0.3,3.0,1.3,0.3,0.3,1.1,0.5,0.13
Quinn Cook,16,2.1,0.3,0.3,0.1,0.1,0.2,1.6,0.8,0.3,0.3,0.8,0.3,0.12
Quinn Cook,7,6.1,1.7,1.9,0.4,0.0,0.6,6.0,2.4,0.4,0.4,1.9,0.9,0.84
Tyler Cook,32,4.9,3.0,0.5,0.3,0.1,0.7,3.2,2.2,1.1,0.5,0.1,0.0,0.2
Tyler Cook,4,0.5,0.5,0.5,0.0,0.0,0.3,0.8,0.3,0.0,0.0,0.0,0.0,0.18
Tyler Cook,28,5.5,3.3,0.5,0.3,0.1,0.7,3.6,2.4,1.3,0.6,0.1,0.0,0.25
DeMarcus Cousins,41,8.9,6.4,1.9,0.8,0.6,1.6,7.4,3.2,2.0,1.4,3.3,1.1,0.3
DeMarcus Cousins,25,9.6,7.6,2.4,0.8,0.7,1.6,8.4,3.2,2.4,1.8,4.6,1.6,0.55
DeMarcus Cousins,16,7.8,4.5,1.0,0.8,0.4,1.6,5.9,3.2,1.4,0.9,1.2,0.5,0.61
Robert Covington,70,8.5,6.7,1.7,1.4,1.2,0.9,7.3,2.9,0.9,0.7,5.1,1.9,0.2
Torrey Craig,50,5.5,3.9,1.0,0.6,0.5,0.5,4.5,2.2,0.4,0.3,2.1,0.8,0.17
Torrey Craig,18,2.5,2.4,0.9,0.5,0.4,0.3,2.6,1.0,0.1,0.1,1.2,0.4,0.27
Torrey Craig,32,7.2,4.8,1.0,0.6,0.6,0.6,5.7,2.8,0.6,0.5,2.6,1.0,0.33
Jae Crowder,60,10.1,4.7,2.1,0.8,0.5,0.9,8.2,3.3,1.3,1.0,6.3,2.5,0.2
Jarrett Culver,34,5.3,3.1,0.7,0.5,0.3,0.8,4.9,2.0,1.4,0.9,1.6,0.4,0.17
Seth Curry,57,12.5,2.4,2.7,0.8,0.1,1.1,9.7,4.5,1.4,1.2,4.9,2.2,0.21
Stephen Curry,63,32.0,5.5,5.8,1.2,0.1,3.4,21.7,10.4,6.3,5.7,12.7,5.3,0.47
Nate Darling,7,1.3,0.1,0.1,0.0,0.1,0.1,1.0,0.3,0.4,0.4,1.0,0.3,0.11
Anthony Davis,36,21.8,7.9,3.1,1.3,1.6,2.1,17.0,8.4,5.9,4.4,2.8,0.7,0.65
Ed Davis,23,2.1,5.0,0.9,0.6,0.6,0.3,1.9,0.8,0.5,0.4,0.0,0.0,0.33
Terence Davis,61,8.7,2.5,1.4,0.7,0.2,1.0,7.5,3.2,0.9,0.7,4.4,1.6,0.13
Terence Davis,34,6.9,1.9,1.1,0.5,0.2,0.9,6.2,2.6,0.5,0.5,3.6,1.3,0.18
Terence Davis,27,11.1,3.3,1.7,1.0,0.3,1.3,9.1,4.0,1.4,1.1,5.4,2.0,0.4
Gabriel Deck,10,8.4,4.0,2.4,0.8,0.0,0.6,6.7,3.2,2.2,1.8,1.5,0.2,1.11
Dewayne Dedmon,16,7.1,5.4,0.8,0.6,0.4,0.8,4.1,2.9,1.7,1.3,0.3,0.1,0.74
Matthew Dellavedova,13,2.8,1.8,4.5,0.3,0.1,0.5,4.3,1.1,0.3,0.3,1.9,0.3,0.45
DeMar DeRozan,61,21.6,4.2,6.9,0.9,0.2,2.0,15.1,7.5,7.2,6.3,1.2,0.3,0.38
Mamadi Diakite,14,3.1,2.4,0.6,0.5,0.4,0.2,2.9,1.1,1.0,0.8,0.6,0.1,0.34
Hamidou Diallo,52,11.6,5.2,1.9,0.8,0.5,1.5,9.0,4.3,3.8,2.5,1.6,0.5,0.24
Hamidou Diallo,32,11.9,5.2,2.4,1.0,0.4,1.5,9.3,4.5,4.1,2.6,1.3,0.4,0.41
